transaction_id,date,time,customer_name,customer_type,cut_type,chickens_count,live_weight_kg,carcass_weight_kg,weight_loss_kg,yield_ratio,price_per_kg,cogs_rp,revenue_rp,gross_profit_rp,payment_method,payment_status
TRX-20260601-0013,2026-06-01,03:54,Eceran Umum,Umum,Potong 4,2,4.07,3.01,1.06,0.74,35000,89540,105349,15809,Tunai,Lunas
TRX-20260601-0014,2026-06-01,05:34,Eceran Umum,Umum,Karkas Utuh,2,4.25,3.17,1.08,0.746,35000,93500,110950,17450,Tunai,Lunas
TRX-20260601-0015,2026-06-01,04:26,Eceran Umum,Umum,Potong 8,1,1.76,1.29,0.47,0.732,36500,38720,47085,8365,Tunai,Lunas
TRX-20260601-0016,2026-06-01,08:48,Eceran Umum,Umum,Potong 4,2,4.1,2.94,1.16,0.717,35000,90199,102900,12701,Tunai,Lunas
TRX-20260601-0017,2026-06-01,05:28,Depot Mie Pangsit 88,Langganan,Potong 4,11,21.39,15.36,6.03,0.718,35000,470580,537600,67020,Tempo_3H,Belum Lunas
TRX-20260601-0018,2026-06-01,06:05,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,16,30.29,22.87,7.42,0.755,36500,666380,834755,168375,Tempo_3H,Belum Lunas
TRX-20260601-0019,2026-06-01,08:38,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Campur,5,9.57,7.0,2.57,0.731,35000,210540,245000,34460,Tempo_3H,Belum Lunas
TRX-20260601-0020,2026-06-01,03:07,Ayam Geprek Sambal Bawang,Langganan,Potong 8,34,64.98,46.53,18.45,0.716,36500,1429560,1698345,268785,Tunai,Belum Lunas
TRX-20260601-0021,2026-06-01,04:31,Warung Nasi Sunda Ibu Imas,Langganan,Potong 8,24,47.56,36.1,11.46,0.759,36500,1046320,1317650,271330,Tempo_7H,Belum Lunas
TRX-20260602-0022,2026-06-02,04:48,Warung Padang Roda Jaya,Langganan,Campur,31,65.25,47.96,17.29,0.735,35000,1435500,1678600,243100,Tempo_7H,Lunas
TRX-20260602-0023,2026-06-02,08:18,Eceran Umum,Umum,Potong 12,1,1.94,1.47,0.47,0.759,36500,42680,53655,10975,Tunai,Lunas
TRX-20260602-0024,2026-06-02,06:10,Eceran Umum,Umum,Potong 4,1,2.06,1.5,0.56,0.728,35000,45320,52500,7180,Tunai,Lunas
TRX-20260602-0025,2026-06-02,06:10,Katering Berkah Ibu,Langganan,Fillet Dada,20,44.35,32.2,12.15,0.726,48000,975700,1545600,569900,Tempo_14H,Lunas
TRX-20260602-0026,2026-06-02,05:58,Eceran Umum,Umum,Potong 4,2,3.91,2.82,1.09,0.721,35000,86020,98700,12680,Tunai,Lunas
TRX-20260602-0027,2026-06-02,03:32,Katering Berkah Ibu,Langganan,Potong 8,11,24.95,17.89,7.06,0.717,36500,548900,652985,104085,Tempo_14H,Belum Lunas
TRX-20260602-0028,2026-06-02,08:29,Eceran Umum,Umum,Potong 12,1,2.03,1.52,0.51,0.751,36500,44659,55480,10821,Tunai,Lunas
TRX-20260602-0029,2026-06-02,05:01,Depot Mie Pangsit 88,Langganan,Campur,34,76.45,57.72,18.73,0.755,35000,1681900,2020200,338300,Tempo_3H,Belum Lunas
TRX-20260602-0030,2026-06-02,04:47,Eceran Umum,Umum,Fillet Dada,2,4.29,3.21,1.08,0.749,48000,94380,154080,59700,Tunai,Lunas
TRX-20260602-0031,2026-06-02,03:07,Katering Berkah Ibu,Langganan,Fillet Dada,12,25.24,17.92,7.32,0.71,48000,555280,860160,304880,Tempo_14H,Lunas
TRX-20260602-0032,2026-06-02,03:45,Katering Berkah Ibu,Langganan,Potong 8,26,52.63,40.0,12.63,0.76,36500,1157860,1460000,302140,Tempo_14H,Lunas
TRX-20260602-0033,2026-06-02,05:47,Eceran Umum,Umum,Potong 12,2,4.14,3.09,1.05,0.746,36500,91080,112785,21705,Tunai,Lunas
TRX-20260602-0034,2026-06-02,05:58,Eceran Umum,Umum,Potong 4,1,1.83,1.35,0.48,0.739,35000,40260,47250,6990,Tunai,Lunas
TRX-20260602-0035,2026-06-02,05:07,Warung Nasi Sunda Ibu Imas,Langganan,Potong 12,6,11.85,8.79,3.06,0.742,36500,260700,320834,60134,Tempo_7H,Belum Lunas
TRX-20260602-0036,2026-06-02,04:47,Ayam Geprek Sambal Bawang,Langganan,Potong 4,7,15.29,10.89,4.4,0.712,35000,336380,381150,44770,Tunai,Belum Lunas
TRX-20260602-0037,2026-06-02,04:05,Warung Padang Roda Jaya,Langganan,Potong 4,13,29.59,21.51,8.08,0.727,35000,650980,752850,101870,Tempo_7H,Belum Lunas
TRX-20260602-0038,2026-06-02,10:51,Depot Mie Pangsit 88,Langganan,Potong 4,25,47.39,34.26,13.13,0.723,35000,1042580,1199100,156520,Tempo_3H,Belum Lunas
TRX-20260602-0039,2026-06-02,04:53,Eceran Umum,Umum,Potong 12,2,3.47,2.5,0.97,0.72,36500,76340,91250,14910,Tunai,Lunas
TRX-20260602-0040,2026-06-02,04:26,Katering Berkah Ibu,Langganan,Potong 4,30,65.11,48.51,16.6,0.745,35000,1432420,1697850,265430,Tempo_14H,Belum Lunas
TRX-20260602-0041,2026-06-02,04:54,Eceran Umum,Umum,Potong 8,2,4.27,3.23,1.04,0.756,36500,93939,117895,23956,Tunai,Lunas
TRX-20260602-0042,2026-06-02,05:44,Warung Padang Roda Jaya,Langganan,Karkas Utuh,12,25.81,19.36,6.45,0.75,35000,567820,677600,109780,Tempo_7H,Belum Lunas
TRX-20260603-0043,2026-06-03,05:31,Eceran Umum,Umum,Potong 8,2,3.73,2.68,1.05,0.718,36500,82060,97820,15760,Tunai,Lunas
TRX-20260603-0044,2026-06-03,07:57,Warung Nasi Sunda Ibu Imas,Langganan,Karkas Utuh,24,43.67,31.66,12.01,0.725,35000,960740,1108100,147360,Tempo_7H,Belum Lunas
TRX-20260603-0045,2026-06-03,07:59,Eceran Umum,Umum,Potong 4,1,1.93,1.45,0.48,0.752,35000,42460,50750,8290,Tunai,Lunas
TRX-20260603-0046,2026-06-03,05:34,Eceran Umum,Umum,Potong 12,2,3.53,2.68,0.85,0.758,36500,77660,97820,20160,Tunai,Lunas
TRX-20260603-0047,2026-06-03,03:55,Bakso Solo Mas Mul,Langganan,Potong 4,32,69.5,50.25,19.25,0.723,35000,1529000,1758750,229750,Tempo_7H,Lunas
TRX-20260603-0048,2026-06-03,05:11,Eceran Umum,Umum,Potong 8,2,4.32,3.16,1.16,0.732,36500,95040,115340,20300,Tunai,Lunas
TRX-20260603-0049,2026-06-03,03:24,Eceran Umum,Umum,Potong 12,1,2.02,1.49,0.53,0.736,36500,44440,54385,9945,Tunai,Lunas
TRX-20260603-0050,2026-06-03,05:28,Katering Berkah Ibu,Langganan,Potong 8,16,33.33,23.93,9.4,0.718,36500,733260,873445,140185,Tempo_14H,Lunas
TRX-20260603-0051,2026-06-03,03:46,Eceran Umum,Umum,Karkas Utuh,2,4.38,3.15,1.23,0.719,35000,96360,110250,13890,Tunai,Lunas
TRX-20260603-0052,2026-06-03,07:20,Eceran Umum,Umum,Potong 8,1,1.93,1.43,0.5,0.742,36500,42460,52195,9735,Tunai,Lunas
TRX-20260603-0053,2026-06-03,09:35,Eceran Umum,Umum,Karkas Utuh,1,1.71,1.29,0.42,0.757,35000,37620,45150,7530,Tunai,Lunas
TRX-20260603-0054,2026-06-03,05:44,Warung Padang Roda Jaya,Langganan,Karkas Utuh,28,63.61,48.15,15.46,0.757,35000,1399420,1685250,285830,Tempo_7H,Belum Lunas
TRX-20260603-0055,2026-06-03,07:11,Katering Berkah Ibu,Langganan,Potong 8,32,59.66,44.8,14.86,0.751,36500,1312520,1635200,322680,Tempo_14H,Belum Lunas
TRX-20260603-0056,2026-06-03,07:39,Depot Mie Pangsit 88,Langganan,Campur,16,30.99,22.34,8.65,0.721,35000,681780,781900,100120,Tempo_3H,Belum Lunas
TRX-20260603-0057,2026-06-03,06:22,Eceran Umum,Umum,Karkas Utuh,2,3.79,2.82,0.97,0.744,35000,83380,98700,15320,Tunai,Lunas
TRX-20260603-0058,2026-06-03,04:06,Eceran Umum,Umum,Karkas Utuh,1,1.87,1.42,0.45,0.757,35000,41140,49700,8560,Tunai,Lunas
TRX-20260603-0059,2026-06-03,05:56,Eceran Umum,Umum,Potong 8,1,2.08,1.56,0.52,0.75,36500,45760,56940,11180,Tunai,Lunas
TRX-20260603-0060,2026-06-03,05:17,Warung Nasi Sunda Ibu Imas,Langganan,Potong 4,28,62.54,46.15,16.39,0.738,35000,1375880,1615250,239370,Tempo_7H,Lunas
TRX-20260603-0061,2026-06-03,06:34,Katering Berkah Ibu,Langganan,Karkas Utuh,21,43.41,31.91,11.5,0.735,35000,955019,1116850,161831,Tempo_14H,Belum Lunas
TRX-20260603-0062,2026-06-03,03:35,Eceran Umum,Umum,Karkas Utuh,1,2.12,1.54,0.58,0.728,35000,46640,53900,7260,Tunai,Lunas
TRX-20260603-0063,2026-06-03,06:51,Warung Nasi Sunda Ibu Imas,Langganan,Potong 8,19,34.99,25.02,9.97,0.715,36500,769780,913230,143450,Tempo_7H,Belum Lunas
TRX-20260604-0064,2026-06-04,07:22,Katering Berkah Ibu,Langganan,Fillet Dada,11,20.3,14.92,5.38,0.735,48000,446600,716160,269560,Tempo_14H,Lunas
TRX-20260604-0065,2026-06-04,05:22,Warung Padang Roda Jaya,Langganan,Potong 8,15,27.88,19.99,7.89,0.717,36500,613360,729635,116275,Tempo_7H,Belum Lunas
TRX-20260604-0066,2026-06-04,03:06,Depot Mie Pangsit 88,Langganan,Potong 8,12,22.04,16.55,5.49,0.751,36500,484880,604075,119195,Tempo_3H,Belum Lunas
TRX-20260604-0067,2026-06-04,03:18,Eceran Umum,Umum,Potong 8,1,1.89,1.42,0.47,0.751,36500,41580,51830,10250,Tunai,Lunas
TRX-20260604-0068,2026-06-04,10:03,Warung Nasi Sunda Ibu Imas,Langganan,Potong 4,32,58.94,44.15,14.79,0.749,35000,1296680,1545250,248570,Tempo_7H,Belum Lunas
TRX-20260604-0069,2026-06-04,08:38,Eceran Umum,Umum,Potong 8,1,1.71,1.25,0.46,0.733,36500,37620,45625,8005,Tunai,Lunas
TRX-20260604-0070,2026-06-04,03:40,Eceran Umum,Umum,Potong 12,1,1.99,1.51,0.48,0.758,36500,43780,55115,11335,Tunai,Lunas
TRX-20260604-0071,2026-06-04,04:55,Eceran Umum,Umum,Potong 8,1,2.18,1.55,0.63,0.711,36500,47960,56575,8615,Tunai,Lunas
TRX-20260604-0072,2026-06-04,03:20,Warung Nasi Sunda Ibu Imas,Langganan,Karkas Utuh,25,57.41,40.99,16.42,0.714,35000,1263020,1434650,171630,Tempo_7H,Belum Lunas
TRX-20260604-0073,2026-06-04,05:40,Warung Nasi Sunda Ibu Imas,Langganan,Potong 4,19,38.52,28.54,9.98,0.741,35000,847440,998900,151460,Tempo_7H,Belum Lunas
TRX-20260604-0074,2026-06-04,03:11,Ayam Geprek Sambal Bawang,Langganan,Campur,20,44.9,32.91,11.99,0.733,35000,987800,1151849,164049,Tunai,Belum Lunas
TRX-20260604-0075,2026-06-04,04:25,Eceran Umum,Umum,Potong 8,2,3.98,2.84,1.14,0.714,36500,87560,103660,16100,Tunai,Lunas
TRX-20260604-0076,2026-06-04,10:53,Warung Nasi Sunda Ibu Imas,Langganan,Karkas Utuh,13,25.41,19.08,6.33,0.751,35000,559020,667799,108779,Tempo_7H,Belum Lunas
TRX-20260604-0077,2026-06-04,08:05,Eceran Umum,Umum,Campur,2,3.98,3.01,0.97,0.756,35000,87560,105349,17789,Tunai,Lunas
TRX-20260604-0078,2026-06-04,08:58,Eceran Umum,Umum,Karkas Utuh,1,1.91,1.43,0.48,0.749,35000,42020,50050,8030,Tunai,Lunas
TRX-20260604-0079,2026-06-04,10:10,Warung Padang Roda Jaya,Langganan,Potong 8,29,66.26,49.83,16.43,0.752,36500,1457720,1818795,361075,Tempo_7H,Belum Lunas
TRX-20260604-0080,2026-06-04,05:00,Warung Padang Roda Jaya,Langganan,Karkas Utuh,27,60.27,45.26,15.01,0.751,35000,1325940,1584100,258160,Tempo_7H,Belum Lunas
TRX-20260604-0081,2026-06-04,05:36,Warung Nasi Sunda Ibu Imas,Langganan,Potong 12,14,31.15,22.49,8.66,0.722,36500,685300,820885,135585,Tempo_7H,Belum Lunas
TRX-20260605-0082,2026-06-05,06:00,Warung Nasi Sunda Ibu Imas,Langganan,Potong 12,6,11.87,8.5,3.37,0.716,36500,261139,310250,49111,Tempo_7H,Belum Lunas
TRX-20260605-0083,2026-06-05,07:58,Warung Padang Roda Jaya,Langganan,Potong 4,5,10.38,7.66,2.72,0.738,35000,228360,268100,39740,Tempo_7H,Belum Lunas
TRX-20260605-0084,2026-06-05,03:46,Eceran Umum,Umum,Potong 8,1,2.01,1.5,0.51,0.745,36500,44219,54750,10531,Tunai,Lunas
TRX-20260605-0085,2026-06-05,03:59,Eceran Umum,Umum,Campur,2,3.99,2.91,1.08,0.73,35000,87780,101850,14070,Tunai,Lunas
TRX-20260605-0086,2026-06-05,08:51,Eceran Umum,Umum,Potong 8,1,2.09,1.53,0.56,0.73,36500,45980,55845,9865,Tunai,Lunas
TRX-20260605-0087,2026-06-05,08:04,Depot Mie Pangsit 88,Langganan,Fillet Dada,14,31.69,23.29,8.4,0.735,48000,697180,1117920,420740,Tempo_3H,Belum Lunas
TRX-20260605-0088,2026-06-05,10:52,Warung Padang Roda Jaya,Langganan,Potong 4,34,71.97,51.96,20.01,0.722,35000,1583340,1818600,235260,Tempo_7H,Lunas
TRX-20260605-0089,2026-06-05,03:30,Eceran Umum,Umum,Potong 8,2,4.04,2.9,1.14,0.719,36500,88880,105850,16970,Tunai,Lunas
TRX-20260605-0090,2026-06-05,08:02,Eceran Umum,Umum,Potong 8,2,3.57,2.57,1.0,0.72,36500,78540,93805,15265,Tunai,Lunas
TRX-20260605-0091,2026-06-05,03:27,Eceran Umum,Umum,Potong 4,2,3.49,2.5,0.99,0.716,35000,76780,87500,10720,Tunai,Lunas
TRX-20260605-0092,2026-06-05,04:33,Warung Padang Roda Jaya,Langganan,Karkas Utuh,30,64.36,45.82,18.54,0.712,35000,1415920,1603700,187780,Tempo_7H,Belum Lunas
TRX-20260605-0093,2026-06-05,03:29,Depot Mie Pangsit 88,Langganan,Karkas Utuh,20,36.61,26.51,10.1,0.724,35000,805420,927850,122430,Tempo_3H,Belum Lunas
TRX-20260605-0094,2026-06-05,04:14,Bakso Solo Mas Mul,Langganan,Potong 8,28,57.18,42.37,14.81,0.741,36500,1257960,1546505,288545,Tempo_7H,Belum Lunas
TRX-20260605-0095,2026-06-05,06:13,Warung Padang Roda Jaya,Langganan,Karkas Utuh,23,49.6,37.45,12.15,0.755,35000,1091200,1310750,219550,Tempo_7H,Belum Lunas
TRX-20260605-0096,2026-06-05,03:57,Warung Padang Roda Jaya,Langganan,Potong 4,23,44.19,31.95,12.24,0.723,35000,972180,1118250,146070,Tempo_7H,Belum Lunas
TRX-20260606-0097,2026-06-06,07:21,Depot Mie Pangsit 88,Langganan,Potong 4,16,30.67,22.3,8.37,0.727,35000,674740,780500,105760,Tempo_3H,Belum Lunas
TRX-20260606-0098,2026-06-06,06:17,Eceran Umum,Umum,Karkas Utuh,1,2.07,1.53,0.54,0.738,35000,45540,53550,8010,Tunai,Lunas
TRX-20260606-0099,2026-06-06,05:41,Depot Mie Pangsit 88,Langganan,Potong 4,10,22.5,16.65,5.85,0.74,35000,495000,582750,87750,Tempo_3H,Lunas
TRX-20260606-0100,2026-06-06,04:56,Warung Padang Roda Jaya,Langganan,Potong 4,26,49.73,36.2,13.53,0.728,35000,1094060,1267000,172940,Tempo_7H,Belum Lunas
TRX-20260606-0101,2026-06-06,03:29,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Karkas Utuh,27,59.97,42.76,17.21,0.713,35000,1319340,1496600,177260,Tempo_3H,Lunas
TRX-20260606-0102,2026-06-06,10:05,Katering Berkah Ibu,Langganan,Potong 8,32,72.28,51.32,20.96,0.71,36500,1590160,1873180,283020,Tempo_14H,Belum Lunas
TRX-20260606-0103,2026-06-06,06:56,Warung Padang Roda Jaya,Langganan,Potong 12,15,31.29,22.65,8.64,0.724,36500,688380,826725,138345,Tempo_7H,Belum Lunas
TRX-20260606-0104,2026-06-06,04:18,Eceran Umum,Umum,Karkas Utuh,2,3.64,2.61,1.03,0.716,35000,80080,91350,11270,Tunai,Lunas
TRX-20260606-0105,2026-06-06,04:36,Depot Mie Pangsit 88,Langganan,Potong 8,8,15.68,11.6,4.08,0.74,36500,344960,423400,78440,Tempo_3H,Belum Lunas
TRX-20260606-0106,2026-06-06,05:09,Warung Padang Roda Jaya,Langganan,Campur,17,36.42,26.0,10.42,0.714,35000,801240,910000,108760,Tempo_7H,Lunas
TRX-20260606-0107,2026-06-06,03:14,Eceran Umum,Umum,Potong 8,1,2.1,1.5,0.6,0.715,36500,46200,54750,8550,Tunai,Lunas
TRX-20260606-0108,2026-06-06,06:49,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Karkas Utuh,28,64.27,46.27,18.0,0.72,35000,1413940,1619450,205510,Tempo_3H,Belum Lunas
TRX-20260606-0109,2026-06-06,06:59,Ayam Geprek Sambal Bawang,Langganan,Fillet Dada,12,26.57,19.87,6.7,0.748,48000,584540,953760,369220,Tunai,Belum Lunas
TRX-20260606-0110,2026-06-06,04:18,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 12,30,67.62,49.09,18.53,0.726,36500,1487640,1791785,304145,Tempo_3H,Belum Lunas
TRX-20260606-0111,2026-06-06,05:39,Katering Berkah Ibu,Langganan,Potong 4,23,48.58,35.8,12.78,0.737,35000,1068760,1253000,184240,Tempo_14H,Belum Lunas
TRX-20260606-0112,2026-06-06,04:46,Depot Mie Pangsit 88,Langganan,Potong 8,18,33.0,23.79,9.21,0.721,36500,726000,868335,142335,Tempo_3H,Belum Lunas
TRX-20260606-0113,2026-06-06,04:50,Eceran Umum,Umum,Potong 4,2,3.57,2.69,0.88,0.754,35000,78540,94150,15610,Tunai,Lunas
TRX-20260606-0114,2026-06-06,06:26,Warung Padang Roda Jaya,Langganan,Fillet Dada,10,21.76,16.21,5.55,0.745,48000,478720,778080,299360,Tempo_7H,Belum Lunas
TRX-20260606-0115,2026-06-06,04:01,Eceran Umum,Umum,Fillet Dada,1,2.08,1.49,0.59,0.715,48000,45760,71520,25760,Tunai,Lunas
TRX-20260606-0116,2026-06-06,04:44,Warung Padang Roda Jaya,Langganan,Karkas Utuh,28,57.43,42.33,15.1,0.737,35000,1263460,1481550,218090,Tempo_7H,Belum Lunas
TRX-20260606-0117,2026-06-06,07:26,Eceran Umum,Umum,Potong 12,1,1.98,1.48,0.5,0.746,36500,43560,54020,10460,Tunai,Lunas
TRX-20260606-0118,2026-06-06,07:09,Depot Mie Pangsit 88,Langganan,Potong 4,10,20.0,14.66,5.34,0.733,35000,440000,513100,73100,Tempo_3H,Belum Lunas
TRX-20260606-0119,2026-06-06,05:17,Eceran Umum,Umum,Potong 12,1,2.06,1.52,0.54,0.74,36500,45320,55480,10160,Tunai,Lunas
TRX-20260606-0120,2026-06-06,08:04,Eceran Umum,Umum,Campur,2,4.05,3.03,1.02,0.749,35000,89100,106050,16950,Tunai,Lunas
TRX-20260606-0121,2026-06-06,03:50,Eceran Umum,Umum,Potong 12,2,4.24,3.21,1.03,0.756,36500,93280,117165,23885,Tunai,Lunas
TRX-20260606-0122,2026-06-06,04:25,Eceran Umum,Umum,Fillet Dada,2,4.24,3.08,1.16,0.727,48000,93280,147840,54560,Tunai,Lunas
TRX-20260606-0123,2026-06-06,04:14,Eceran Umum,Umum,Potong 8,1,2.07,1.49,0.58,0.72,36500,45540,54385,8845,Tunai,Lunas
TRX-20260606-0124,2026-06-06,06:34,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,29,64.72,48.93,15.79,0.756,36500,1423840,1785945,362105,Tempo_3H,Belum Lunas
TRX-20260606-0125,2026-06-06,08:42,Warung Padang Roda Jaya,Langganan,Karkas Utuh,31,57.98,41.69,16.29,0.719,35000,1275560,1459150,183590,Tempo_7H,Belum Lunas
TRX-20260606-0126,2026-06-06,08:48,Eceran Umum,Umum,Fillet Dada,1,2.02,1.44,0.58,0.711,48000,44440,69120,24680,Tunai,Lunas
TRX-20260606-0127,2026-06-06,03:19,Katering Berkah Ibu,Langganan,Potong 8,24,48.18,34.4,13.78,0.714,36500,1059960,1255600,195640,Tempo_14H,Belum Lunas
TRX-20260607-0128,2026-06-07,04:29,Eceran Umum,Umum,Potong 12,1,2.1,1.53,0.57,0.727,36500,46200,55845,9645,Tunai,Lunas
TRX-20260607-0129,2026-06-07,06:28,Warung Padang Roda Jaya,Langganan,Potong 8,12,25.12,18.21,6.91,0.725,36500,552640,664665,112025,Tempo_7H,Belum Lunas
TRX-20260607-0130,2026-06-07,05:48,Warung Padang Roda Jaya,Langganan,Potong 8,10,21.83,15.61,6.22,0.715,36500,480259,569765,89506,Tempo_7H,Belum Lunas
TRX-20260607-0131,2026-06-07,07:09,Eceran Umum,Umum,Potong 4,2,3.93,2.95,0.98,0.75,35000,86460,103250,16790,Tunai,Lunas
TRX-20260607-0132,2026-06-07,07:06,Warung Nasi Sunda Ibu Imas,Langganan,Potong 12,5,10.38,7.5,2.88,0.723,36500,228360,273750,45390,Tempo_7H,Lunas
TRX-20260607-0133,2026-06-07,05:56,Warung Padang Roda Jaya,Langganan,Fillet Dada,7,15.71,11.59,4.12,0.738,48000,345620,556320,210700,Tempo_7H,Belum Lunas
TRX-20260607-0134,2026-06-07,10:31,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Fillet Dada,15,34.22,25.9,8.32,0.757,48000,752840,1243200,490360,Tempo_3H,Lunas
TRX-20260607-0135,2026-06-07,04:17,Eceran Umum,Umum,Karkas Utuh,1,2.07,1.56,0.51,0.752,35000,45540,54600,9060,Tunai,Lunas
TRX-20260607-0136,2026-06-07,08:28,Eceran Umum,Umum,Potong 8,2,4.31,3.19,1.12,0.741,36500,94819,116435,21616,Tunai,Lunas
TRX-20260607-0137,2026-06-07,07:02,Eceran Umum,Umum,Potong 8,2,4.23,3.08,1.15,0.727,36500,93060,112420,19360,Tunai,Lunas
TRX-20260607-0138,2026-06-07,04:52,Bakso Solo Mas Mul,Langganan,Potong 4,24,54.89,41.11,13.78,0.749,35000,1207580,1438850,231270,Tempo_7H,Lunas
TRX-20260607-0139,2026-06-07,10:22,Depot Mie Pangsit 88,Langganan,Fillet Dada,21,42.89,31.57,11.32,0.736,48000,943580,1515360,571780,Tempo_3H,Belum Lunas
TRX-20260607-0140,2026-06-07,05:08,Katering Berkah Ibu,Langganan,Karkas Utuh,15,30.16,21.62,8.54,0.717,35000,663520,756700,93180,Tempo_14H,Belum Lunas
TRX-20260607-0141,2026-06-07,06:05,Katering Berkah Ibu,Langganan,Campur,25,55.19,40.56,14.63,0.735,35000,1214180,1419600,205420,Tempo_14H,Lunas
TRX-20260607-0142,2026-06-07,05:11,Eceran Umum,Umum,Potong 4,2,3.54,2.56,0.98,0.723,35000,77880,89600,11720,Tunai,Lunas
TRX-20260607-0143,2026-06-07,06:33,Eceran Umum,Umum,Potong 12,1,1.95,1.44,0.51,0.739,36500,42900,52560,9660,Tunai,Lunas
TRX-20260607-0144,2026-06-07,05:57,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,6,11.3,8.44,2.86,0.747,36500,248600,308060,59460,Tempo_3H,Lunas
TRX-20260607-0145,2026-06-07,04:20,Depot Mie Pangsit 88,Langganan,Fillet Dada,15,29.67,22.13,7.54,0.746,48000,652740,1062240,409500,Tempo_3H,Belum Lunas
TRX-20260607-0146,2026-06-07,05:46,Depot Mie Pangsit 88,Langganan,Campur,26,56.32,40.61,15.71,0.721,35000,1239040,1421350,182310,Tempo_3H,Lunas
TRX-20260607-0147,2026-06-07,05:42,Eceran Umum,Umum,Fillet Dada,1,2.0,1.45,0.55,0.727,48000,44000,69600,25600,Tunai,Lunas
TRX-20260607-0148,2026-06-07,03:08,Bakso Solo Mas Mul,Langganan,Potong 4,5,10.24,7.62,2.62,0.744,35000,225280,266700,41420,Tempo_7H,Belum Lunas
TRX-20260607-0149,2026-06-07,07:36,Eceran Umum,Umum,Karkas Utuh,1,1.84,1.36,0.48,0.74,35000,40480,47600,7120,Tunai,Lunas
TRX-20260608-0150,2026-06-08,07:48,Eceran Umum,Umum,Karkas Utuh,2,4.09,3.01,1.08,0.736,35000,89980,105349,15369,Tunai,Lunas
TRX-20260608-0151,2026-06-08,09:18,Eceran Umum,Umum,Potong 12,1,2.08,1.55,0.53,0.746,36500,45760,56575,10815,Tunai,Lunas
TRX-20260608-0152,2026-06-08,10:17,Katering Berkah Ibu,Langganan,Potong 8,19,40.79,29.08,11.71,0.713,36500,897380,1061420,164040,Tempo_14H,Belum Lunas
TRX-20260608-0153,2026-06-08,05:16,Eceran Umum,Umum,Karkas Utuh,1,1.94,1.41,0.53,0.726,35000,42680,49350,6670,Tunai,Lunas
TRX-20260608-0154,2026-06-08,06:50,Eceran Umum,Umum,Campur,2,3.82,2.86,0.96,0.75,35000,84040,100100,16060,Tunai,Lunas
TRX-20260608-0155,2026-06-08,03:34,Bakso Solo Mas Mul,Langganan,Potong 4,14,29.71,22.07,7.64,0.743,35000,653620,772450,118830,Tempo_7H,Belum Lunas
